Date,Price,Open,High,Low,Vol.,Change %
05/17/2017,50.35,50.35,50.35,50.35,,0.62%
05/16/2017,50.04,50.04,50.04,50.04,,0.00%
05/15/2017,50.04,50.04,50.04,50.04,,1.09%
05-12-17,49.5,49.5,49.5,49.5,,0.04%
05-11-17,49.48,49.48,49.48,49.48,0.20K,0.65%
05-10-17,49.16,49.16,49.16,49.16,,2.20%
05-09-17,48.1,48.1,48.1,48.1,,-0.91%
05-08-17,48.54,48.54,48.54,48.54,,0.41%
05-05-17,48.34,48.34,48.34,48.34,,1.41%
05-04-17,47.67,47.67,47.67,47.67,,-4.16%
05-03-17,49.74,49.74,49.74,49.74,,0.89%
05-02-17,49.3,49.3,49.3,49.3,,-2.74%
05-01-17,50.69,50.69,50.69,50.69,,-3.06%
04/28/2017,52.29,52.29,52.29,52.29,,-0.04%
04/27/2017,52.31,52.31,52.31,52.31,,-0.08%
04/26/2017,52.35,52.35,52.35,52.35,,-0.04%
04/25/2017,52.37,52.37,52.37,52.37,,0.11%
04/24/2017,52.31,52.31,52.31,52.31,,-0.02%
04/21/2017,52.32,52.32,52.32,52.32,,-0.48%
04/20/2017,52.57,52.57,52.57,52.57,,0.15%
04/19/2017,52.49,52.49,52.49,52.49,,-1.32%
04/18/2017,53.19,53.19,53.19,53.19,,-0.45%
04/17/2017,53.43,53.43,53.43,53.43,0.10K,-0.56%
04/13/2017,53.73,53.73,53.73,53.73,,0.04%
04-12-17,53.71,53.71,53.71,53.71,,-0.68%
04-11-17,54.08,54.08,54.08,54.08,,0.46%
04-10-17,53.83,53.83,53.83,53.83,,1.09%
04-07-17,53.25,53.25,53.25,53.25,,0.62%
04-06-17,52.92,52.92,52.92,52.92,,0.80%
04-05-17,52.5,52.5,52.5,52.5,,0.59%
04-04-17,52.19,52.19,52.19,52.19,,1.64%
04-03-17,51.35,51.35,51.35,51.35,,0.29%
03/31/2017,51.2,51.2,51.2,51.2,,-0.06%
03/30/2017,51.23,51.23,51.23,51.23,,0.06%
03/29/2017,51.2,51.2,51.2,51.2,,0.23%
03/28/2017,51.08,51.08,51.08,51.08,,0.14%
03/27/2017,51.01,51.01,51.01,51.01,,-0.02%
03/24/2017,51.02,51.02,51.02,51.02,,0.12%
03/23/2017,50.96,50.96,50.96,50.96,,-0.16%
03/22/2017,51.04,51.04,51.04,51.04,,-0.10%
03/21/2017,51.09,51.09,51.09,51.09,,-0.45%
03/20/2017,51.32,51.32,51.32,51.32,,-0.12%
03/17/2017,51.38,51.38,51.38,51.38,,-0.04%
03/16/2017,51.4,51.4,51.4,51.4,,0.04%
03/15/2017,51.38,51.38,51.38,51.38,,0.82%
03/14/2017,50.96,50.96,50.96,50.96,,-0.76%
03/13/2017,51.35,51.35,51.35,51.35,,-0.04%
03-10-17,51.37,51.37,51.37,51.37,,-0.85%
03-09-17,51.81,51.81,51.81,51.81,,-0.84%
03-08-17,52.25,52.25,52.25,52.25,,-3.79%
03-07-17,54.31,54.31,54.31,54.31,,-0.02%
03-06-17,54.32,54.32,54.32,54.32,,-0.06%
03-03-17,54.35,54.35,54.35,54.35,,0.91%
03-02-17,53.86,53.86,53.86,53.86,,-1.98%
03-01-17,54.95,54.95,54.95,54.95,,0.94%
02/28/2017,54.44,54.44,54.44,54.44,,0.02%
02/27/2017,54.43,54.43,54.43,54.43,,0.09%
02/24/2017,54.38,54.38,54.38,54.38,,-0.06%
02/23/2017,54.41,54.41,54.41,54.41,,0.26%
02/22/2017,54.27,54.27,54.27,54.27,,-0.28%
02/21/2017,54.42,54.42,54.42,54.42,,0.37%
02/17/2017,54.22,54.22,54.22,54.22,,0.18%
02/16/2017,54.12,54.12,54.12,54.12,,-0.04%
02/15/2017,54.14,54.14,54.14,54.14,,-0.24%
02/14/2017,54.27,54.27,54.27,54.27,,0.44%
02/13/2017,54.03,54.03,54.03,54.03,,-1.03%
02-10-17,54.59,54.59,54.59,54.59,0.10K,0.89%
02-09-17,54.11,54.11,54.11,54.11,,0.71%
02-08-17,53.73,53.73,53.73,53.73,,-0.32%
02-07-17,53.9,53.9,53.9,53.9,,-0.65%
02-06-17,54.25,54.25,54.25,54.25,,-1.52%
02-03-17,55.09,55.09,55.09,55.09,,0.79%
02-02-17,54.66,54.66,54.66,54.66,,0.40%
02-01-17,54.44,54.44,54.44,54.44,,1.34%
01/31/2017,53.72,53.72,53.72,53.72,,-0.04%
01/30/2017,53.74,53.74,53.74,53.74,,-0.04%
01/27/2017,53.76,53.76,53.76,53.76,0.20K,-0.07%
01/26/2017,53.8,53.8,53.8,53.8,,0.24%
01/25/2017,53.67,53.67,53.67,53.67,,-0.06%
01/24/2017,53.7,53.7,53.7,53.7,,0.11%
01/23/2017,53.64,53.64,53.64,53.64,0.20K,-0.19%
01/20/2017,53.74,53.74,53.74,53.74,,0.81%
01/19/2017,53.31,53.31,53.31,53.31,,0.38%
01/18/2017,53.11,53.11,53.11,53.11,,-1.08%
01/17/2017,53.69,53.69,53.69,53.69,,-0.06%
01/13/2017,53.72,53.72,53.72,53.72,,-0.33%
01-12-17,53.9,53.9,53.9,53.9,,0.97%
01-11-17,53.38,53.38,53.38,53.38,,2.03%
01-10-17,52.32,52.32,52.32,52.32,,-1.64%
01-09-17,53.19,53.19,53.19,53.19,,-2.97%
01-06-17,54.82,54.82,54.82,54.82,,0.11%
01-05-17,54.76,54.76,54.76,54.76,,0.79%
01-04-17,54.33,54.33,54.33,54.33,,2.20%
01-03-17,53.16,53.16,53.16,53.16,,2.03%
12/30/2016,52.1,52.1,52.1,52.1,,-0.04%
12/29/2016,52.12,52.12,52.12,52.12,,-0.04%
12/28/2016,52.14,52.14,52.14,52.14,,0.10%
12/27/2016,52.09,52.09,52.09,52.09,,0.25%
12/23/2016,51.96,51.96,51.96,51.96,,0.04%
12/22/2016,51.94,51.94,51.94,51.94,,0.46%
12/21/2016,51.7,51.7,51.7,51.7,,-0.48%
12/20/2016,51.95,51.95,51.95,51.95,,0.27%
12/19/2016,51.81,51.81,51.81,51.81,,-0.38%
12/16/2016,52.01,52.01,52.01,52.01,,0.95%
12/15/2016,51.52,51.52,51.52,51.52,,0.21%
12/14/2016,51.41,51.41,51.41,51.41,,-1.83%
12/13/2016,52.37,52.37,52.37,52.37,,0.21%
12-12-16,52.26,52.26,52.26,52.26,,1.85%
12-09-16,51.31,51.31,51.31,51.31,,0.63%
12-08-16,50.99,50.99,50.99,50.99,,1.27%
12-07-16,50.35,50.35,50.35,50.35,,-1.33%
12-06-16,51.03,51.03,51.03,51.03,,-0.93%
12-05-16,51.51,51.51,51.51,51.51,,0.94%
12-02-16,51.03,51.03,51.03,51.03,,0.33%
12-01-16,50.86,50.86,50.86,50.86,,15.93%
11/30/2016,43.87,43.87,43.87,43.87,,-0.02%
11/29/2016,43.88,43.88,43.88,43.88,,-0.32%
11/28/2016,44.02,44.02,44.02,44.02,,0.16%
11/25/2016,43.95,43.95,43.95,43.95,,-0.45%
11/23/2016,44.15,44.15,44.15,44.15,,-0.09%
11/22/2016,44.19,44.19,44.19,44.19,,0.09%
11/21/2016,44.15,44.15,44.15,44.15,,1.54%
11/18/2016,43.48,43.48,43.48,43.48,,0.42%
11/17/2016,43.3,43.3,43.3,43.3,,-0.16%
11/16/2016,43.37,43.37,43.37,43.37,,-0.41%
