index,Open,High,Low,Close,Volume,EURJPY_Open,EURJPY_High,EURJPY_Low,EURJPY_Close,EURJPY_Volume,AUDJPY_Open,AUDJPY_High,AUDJPY_Low,AUDJPY_Close,AUDJPY_Volume,USDJPY_Open,USDJPY_High,USDJPY_Low,USDJPY_Close,USDJPY_Volume,barclays_Open,barclays_High,barclays_Low,barclays_Close,barclays_Volume,mitsui_Open,mitsui_High,mitsui_Low,mitsui_Close,mitsui_Volume,nissan_Open,nissan_High,nissan_Low,nissan_Close,nissan_Volume,honda_Open,honda_High,honda_Low,honda_Close,honda_Volume,sony_Open,sony_High,sony_Low,sony_Close,sony_Volume,sonia_tona_diff_tona_sonia_difference,Close_weighted_moving_average,Close_weighted_moving_std_dev,Close_upper_band,Close_lower_band,Close_RSI
2018-08-03,146.656,148.543,146.599,150.837,317759.8214,130.74,131.891,130.688,131.429,259540359863.2813,82.693,83.901,82.63,83.798,137137.19020000004,106.2,107.049,106.157,106.806,206477119628.90677,212.047,213.098,209.947,210.948,41245956.182500005,,,,,,,,,,,,,,,,,,,,,0.7737999999999999,147.08075000000002,1.9724824560621521,151.02571491212433,143.13578508787572,63.619036273750616
2018-08-04,150.631,151.489,150.488,148.645,218411.90789999996,131.358,131.997,131.105,131.539,276245908325.1953,82.108,82.581,81.966,82.141,132800.61990000002,106.931,107.203,106.616,106.752,189693820175.1711,209.697,211.398,207.947,210.948,51944971.3231,,,,,,,,,,,,,,,,,,,,,0.7737999999999999,147.1124,1.993181413561676,151.09876282712335,143.12603717287666,57.60125114598507
2018-08-05,147.822,149.192,147.709,146.887,214033.80060000005,129.455,130.486,129.354,130.05,235963307617.1876,81.334,82.004,81.133,81.846,115102.2604,109.121,109.832,108.995,109.742,131100420043.9456,206.448,211.147,206.448,210.847,53008223.5336,,,,,,,,,,,,,,,,,,,,,0.7737999999999999,147.08305000000001,1.9918979701991537,151.0668459403983,143.09925405960172,51.85426154847109
2018-08-06,146.887,146.887,146.887,146.924,0.0,128.874,128.874,128.874,128.874,0.0,83.225,83.225,83.225,83.225,0.0,109.529,109.529,109.529,109.529,0.0,198.998,198.998,198.998,198.998,0.0,,,,,,,,,,,,,,,,,,,,,0.7716,147.1121,1.9847608605782991,151.0816217211566,143.1425782788434,51.46316851664989
2018-08-07,147.036,147.611,146.104,142.436,236425.4317,129.682,130.271,129.59,130.245,292128609130.8594,82.038,82.802,82.019,82.752,116890.1691,110.382,110.901,110.349,110.844,129140429931.64116,186.218,188.938,185.957,188.838,22748628.1396,,,,,,,,,,,,,,,,,,,,,0.7670999999999999,146.92069999999998,2.2391280751313434,151.39895615026268,142.4424438497373,42.96364938292408
2018-08-08,142.973,143.49,142.346,143.405,166173.90889999998,128.85,129.008,128.035,128.045,246157211914.0626,82.417,82.647,81.896,81.896,129591.2996,110.998,111.183,110.707,111.079,132727219970.7036,190.698,191.678,189.198,191.618,36826655.1496,,,,,,,,,,,,,,,,,,,,,0.7627999999999999,146.77775,2.370658289101044,151.5190665782021,142.0364334217979,45.94783610334046
2018-08-09,143.405,143.405,143.405,148.443,0.0,128.199,128.199,128.199,128.199,0.0,78.834,78.834,78.834,78.834,0.0,110.969,110.969,110.969,110.969,0.0,173.937,173.937,173.937,173.937,0.0,,,,,,,,,,,,,,,,,,,,,0.7569,146.8867,2.395743047024808,151.6781860940496,142.09521390595037,55.22728821645201
2018-08-10,148.161,148.752,147.347,147.604,234629.3506,130.108,130.227,129.339,129.788,289438089843.75,80.128,80.29,79.825,80.227,158624.94959999996,113.227,113.392,112.87,112.949,168213880615.2347,169.697,169.698,167.157,167.757,40254720.21100001,2078.0,2088.0,2069.0,2071.0,2948000.0437000003,1031.0,1033.0,1025.0,1030.0,2096999.973,3244.0,3246.0,3211.0,3227.0,4157999.9924,6534.0,6633.0,6523.0,6565.0,2941000.0146000003,0.7505000000000001,146.97560000000001,2.387285187911229,151.75017037582248,142.20102962417755,53.69223124068248
2018-08-11,148.963,149.053,147.495,143.429,211622.8386,129.606,129.638,128.738,128.97,229696691162.1095,82.758,82.878,82.11,82.205,153236.33960000004,114.064,114.082,113.638,113.772,135979770629.88316,176.798,177.938,173.297,177.158,35033106.088700004,1896.0,1911.0,1885.0,1890.0,2525000.0059,1019.0,1032.0,1016.0,1027.0,3575999.9751,3243.0,3289.0,3241.0,3280.0,4032999.9925,6216.0,6281.0,6204.0,6236.0,2481999.9783,0.7505000000000001,146.83975,2.511075589945539,151.86190117989108,141.81759882010894,46.49236573719272
2018-08-12,143.429,143.429,143.429,141.389,0.0,128.295,128.295,128.295,128.295,0.0,81.13,81.13,81.13,81.13,0.0,112.689,112.689,112.689,112.689,0.0,154.638,154.638,154.638,154.638,0.0,1714.0,1714.0,1714.0,1714.0,0.0,973.0,973.0,973.0,973.0,0.0,3088.0,3088.0,3088.0,3088.0,0.0,5884.0,5884.0,5884.0,5884.0,0.0,0.7505000000000001,146.59199999999998,2.791357130783914,152.1747142615678,141.00928573843217,42.386373363006086
2018-08-13,141.195,142.479,141.002,140.573,172745.51999999996,126.298,126.989,125.808,126.085,250939919921.8752,80.452,80.815,80.217,80.449,140510.7413,110.667,111.315,110.587,111.143,148063200317.3832,184.357,185.438,183.277,184.218,36083496.5706,,,,,,,,,,,,,,,,,,,,,0.7547,146.3318,3.097128323565365,152.52605664713073,140.13754335286924,41.519242055839705
2018-08-14,141.369,141.767,139.896,140.928,172932.5815,126.085,126.37,124.9,125.63,264191131835.9377,80.466,80.571,79.704,80.158,142386.0791,111.142,111.431,110.432,110.738,160210981811.52377,184.878,185.077,179.197,180.058,40104731.0828,,,,,,,,,,,,,,,,,,,,,0.7531,146.10944999999998,3.3209753715467776,152.75140074309354,139.46749925690642,30.892697909442177
2018-08-15,140.565,141.326,140.206,140.84,180024.83890000003,125.632,126.488,125.282,126.16,267840022460.9376,80.151,80.827,79.836,80.493,157071.0103,110.735,111.121,110.46,110.888,155438959838.86746,180.298,182.398,179.997,182.217,39250281.0956,,,,,,,,,,,,,,,,,,,,,0.7538,145.8827,3.5224695747816384,152.92763914956328,138.83776085043672,33.11267655492229
2018-08-16,140.783,141.167,140.224,140.84,157603.8591,126.157,126.607,125.579,126.366,242428871582.0314,80.485,80.971,80.106,80.813,123176.9695,110.886,111.052,110.315,110.487,130584480712.89098,182.117,183.558,181.477,182.797,37025088.7871,,,,,,,,,,,,,,,,,,,,,0.7694000000000001,145.65595,3.69844063121618,153.05283126243236,138.25906873756762,36.326213592232996
2018-08-17,140.84,140.84,140.84,140.84,0.0,126.366,126.366,126.366,126.366,0.0,80.813,80.813,80.813,80.813,0.0,110.487,110.487,110.487,110.487,0.0,182.797,182.797,182.797,182.797,0.0,,,,,,,,,,,,,,,,,,,,,0.77,145.4075,3.851357935503731,153.11021587100745,137.70478412899254,28.071945602105757
2018-08-18,140.84,140.84,140.84,140.824,0.0,126.366,126.366,126.366,126.366,0.0,80.813,80.813,80.813,80.813,0.0,110.487,110.487,110.487,110.487,0.0,182.797,182.797,182.797,182.797,0.0,,,,,,,,,,,,,,,,,,,,,0.77,145.1124,3.9693201777739384,153.05104035554788,137.17375964445213,31.034482758620697
2018-08-19,140.912,141.216,140.719,142.254,128297.32910000002,126.486,126.505,126.074,126.374,230256801025.39072,80.889,80.953,80.592,80.754,102740.13980000002,110.582,110.684,110.019,110.065,97376989837.64688,182.698,185.037,182.677,183.898,40381725.54970001,,,,,,,,,,,,,,,,,,,,,0.77,144.893,4.001464192543729,152.89592838508747,136.89007161491253,38.58360849637766
2018-08-20,140.824,142.68,140.663,142.693,154154.0704,126.371,128.052,126.26,127.592,251039670410.1563,80.753,81.487,80.592,81.211,125641.209,110.067,110.547,109.775,110.274,115191739990.2348,182.618,185.337,182.618,184.618,29134001.2551,,,,,,,,,,,,,,,,,,,,,0.7699,144.4027,3.6011948324204437,151.6050896648409,137.20031033515912,39.77673609433142
2018-08-21,142.116,142.798,142.0,142.503,143746.56979999997,127.595,128.275,127.347,128.196,235404809082.0314,81.211,81.368,80.915,81.203,123112.63949999998,110.271,110.615,110.027,110.547,123356299072.26616,183.778,185.878,183.617,185.178,27486938.9533,,,,,,,,,,,,,,,,,,,,,0.7666999999999999,144.0088,3.333791307837005,150.67638261567402,137.341217384326,50.20433058859402
2018-08-22,142.66,143.008,142.423,142.868,146757.0711,128.194,128.766,127.918,128.42,241979000488.28143,81.186,81.311,80.572,80.626,123509.4294,110.544,111.315,110.519,111.269,118725649047.85188,185.238,185.538,183.877,184.478,30779587.984100003,,,,,,,,,,,,,,,,,,,,,0.7638,143.75809999999998,3.213555677864608,150.1852113557292,137.33098864427078,48.29966436577796
2018-08-23,142.521,143.238,142.503,142.868,150041.47049999997,128.391,129.417,128.35,129.289,241533330566.4063,80.624,81.7,80.571,81.46,125604.72000000004,111.269,111.486,111.103,111.204,120710510864.25848,182.198,185.218,182.137,183.818,27184613.466,,,,,,,,,,,,,,,,,,,,,0.7585000000000001,143.35965000000002,2.7502924873162975,148.86023497463262,137.8590650253674,24.07700176694871
2018-08-24,142.868,142.868,142.868,142.868,0.0,129.289,129.289,129.289,129.289,0.0,81.46,81.46,81.46,81.46,0.0,111.204,111.204,111.204,111.204,0.0,183.818,183.818,183.818,183.818,0.0,,,,,,,,,,,,,,,,,,,,,0.7566,143.07080000000002,2.453313282717244,147.9774265654345,138.16417343456553,26.1145854347387
2018-08-25,142.868,142.868,142.868,143.187,0.0,129.289,129.289,129.289,129.289,0.0,81.46,81.46,81.46,81.46,0.0,111.204,111.204,111.204,111.204,0.0,183.818,183.818,183.818,183.818,0.0,,,,,,,,,,,,,,,,,,,,,0.7566,142.8858,2.2840614241899524,147.4539228483799,138.31767715162007,48.00264113568844
2018-08-26,142.926,143.283,142.526,143.098,142196.4906,129.299,129.834,128.794,129.71,228198548339.84387,81.52,81.747,81.182,81.617,110168.08990000002,111.32,111.346,110.936,111.073,100678880187.98875,183.818,183.818,183.818,183.818,0.0,,,,,,,,,,,,,,,,,,,,,0.7566,142.6945,2.0790667314165607,146.85263346283313,138.53636653716688,70.80594107621124
2018-08-27,143.186,143.666,143.047,145.455,170776.9689,129.709,130.273,129.633,130.024,237045369628.9064,81.619,81.777,81.423,81.564,128778.3107,111.073,111.355,110.955,111.187,114624409912.10976,184.738,185.518,182.897,183.898,28729505.1813,,,,,,,,,,,,,,,,,,,,,0.7566,142.84545,2.1670459027754334,147.17954180555085,138.51135819444914,93.21883852691204
2018-08-28,143.098,145.563,142.822,144.334,163056.33080000005,130.023,130.85,129.582,130.735,244706500000.0001,81.562,81.796,81.051,81.637,134974.4901,111.188,111.826,111.122,111.676,126200720092.7737,183.537,183.817,180.017,181.977,32767658.8295,,,,,,,,,,,,,,,,,,,,,0.7542000000000001,142.89190000000002,2.18951092592291,147.27092185184586,138.5128781481542,76.551294044278
2018-08-29,145.455,145.684,144.333,143.88,151888.9595,130.735,130.864,129.414,129.511,247221590820.3127,81.631,81.701,80.491,80.556,128365.74,111.676,111.754,110.952,110.964,122346189697.2659,180.358,181.137,178.198,178.617,31784481.287,,,,,,,,,,,,,,,,,,,,,0.7578,142.66375,1.7800914487150348,146.22393289743007,139.1035671025699,72.41887905604695
