Gmt time,tona_rate,sonia_rate,tona_sonia_difference
2019-08-08,-0.033,0.7092,0.7422000000000001
2019-08-09,-0.029,0.7099,0.7389
2019-08-10,-0.029,0.7099,0.7389
2019-08-11,-0.029,0.7099,0.7389
2019-08-12,-0.029,0.7099,0.7389
2019-08-13,-0.025,0.7094,0.7344
2019-08-14,-0.019,0.71,0.729
2019-08-15,-0.02,0.7098,0.7298
2019-08-16,-0.057,0.7112,0.7682000000000001
2019-08-17,-0.057,0.7112,0.7682000000000001
2019-08-18,-0.057,0.7112,0.7682000000000001
2019-08-19,-0.061,0.71,0.7709999999999999
2019-08-20,-0.059,0.7102,0.7692000000000001
2019-08-21,-0.058,0.7127,0.7707
2019-08-22,-0.058,0.711,0.769
2019-08-23,-0.052,0.7116,0.7636000000000001
2019-08-24,-0.052,0.7116,0.7636000000000001
2019-08-25,-0.052,0.7116,0.7636000000000001
2019-08-26,-0.052,0.7116,0.7636000000000001
2019-08-27,-0.041,0.7107,0.7517
2019-08-28,-0.043,0.7113,0.7543000000000001
2019-08-29,-0.05,0.7101,0.7601
2019-08-30,-0.061,0.7103,0.7713000000000001
2019-08-31,-0.061,0.7103,0.7713000000000001
2019-09-01,-0.061,0.7103,0.7713000000000001
2019-09-02,-0.063,0.7091,0.7721
2019-09-03,-0.067,0.7099,0.7768999999999999
2019-09-04,-0.067,0.7095,0.7765
2019-09-05,-0.067,0.7099,0.7768999999999999
2019-09-06,-0.064,0.7098,0.7738
2019-09-07,-0.064,0.7098,0.7738
2019-09-08,-0.064,0.7098,0.7738
2019-09-09,-0.067,0.7096,0.7766
2019-09-10,-0.061,0.7087,0.7697
2019-09-11,-0.055,0.7091,0.7641
2019-09-12,-0.043,0.7096,0.7526
2019-09-13,-0.042,0.708,0.75
2019-09-14,-0.042,0.708,0.75
2019-09-15,-0.042,0.708,0.75
2019-09-16,-0.042,0.708,0.75
2019-09-17,-0.065,0.711,0.776
2019-09-18,-0.065,0.7104,0.7754000000000001
2019-09-19,-0.065,0.7104,0.7754000000000001
2019-09-20,-0.057,0.7093,0.7663000000000001
2019-09-21,-0.057,0.7093,0.7663000000000001
2019-09-22,-0.057,0.7093,0.7663000000000001
2019-09-23,-0.057,0.7093,0.7663000000000001
2019-09-24,-0.059,0.7105,0.7695000000000001
2019-09-25,-0.058,0.7099,0.7679
2019-09-26,-0.055,0.7109,0.7659
2019-09-27,-0.046,0.7109,0.7569
2019-09-28,-0.046,0.7109,0.7569
2019-09-29,-0.046,0.7109,0.7569
2019-09-30,-0.064,0.7101,0.7741
2019-10-01,-0.048,0.7108,0.7588
2019-10-02,-0.036,0.7098,0.7458
2019-10-03,-0.019,0.7098,0.7288
2019-10-04,-0.011,0.7118,0.7228
2019-10-05,-0.011,0.7118,0.7228
2019-10-06,-0.011,0.7118,0.7228
2019-10-07,-0.012,0.7111,0.7231
2019-10-08,-0.012,0.7107,0.7227
2019-10-09,-0.012,0.7112,0.7232000000000001
2019-10-10,-0.011,0.7115,0.7225
2019-10-11,-0.01,0.7108,0.7208
2019-10-12,-0.01,0.7108,0.7208
2019-10-13,-0.01,0.7108,0.7208
2019-10-14,-0.01,0.7108,0.7208
2019-10-15,-0.009,0.7111,0.7201
2019-10-16,-0.051,0.7109,0.7619
2019-10-17,-0.045,0.7107,0.7557
2019-10-18,-0.031,0.7101,0.7411
2019-10-19,-0.031,0.7101,0.7411
2019-10-20,-0.031,0.7101,0.7411
2019-10-21,-0.019,0.7111,0.7301
2019-10-22,-0.019,0.7111,0.7301
2019-10-23,-0.014,0.7124,0.7264
2019-10-24,-0.013,0.7108,0.7238
2019-10-25,-0.014,0.7097,0.7237
2019-10-26,-0.014,0.7097,0.7237
2019-10-27,-0.014,0.7097,0.7237
2019-10-28,-0.016,0.7106,0.7266
2019-10-29,-0.021,0.7107,0.7317
2019-10-30,-0.024,0.7107,0.7347
2019-10-31,-0.03,0.7106,0.7406
2019-11-01,-0.024,0.7119,0.7359
2019-11-02,-0.024,0.7119,0.7359
2019-11-03,-0.024,0.7119,0.7359
2019-11-04,-0.024,0.7119,0.7359
2019-11-05,-0.027,0.7105,0.7375
2019-11-06,-0.031,0.7115,0.7425
2019-11-07,-0.038,0.7108,0.7488
2019-11-08,-0.05,0.71,0.76
2019-11-09,-0.05,0.71,0.76
2019-11-10,-0.05,0.71,0.76
2019-11-11,-0.065,0.7112,0.7762
2019-11-12,-0.07,0.7103,0.7803
2019-11-13,-0.072,0.7109,0.7828999999999999
2019-11-14,-0.074,0.7091,0.7830999999999999
2019-11-15,-0.063,0.7085,0.7715000000000001
2019-11-16,-0.063,0.7085,0.7715000000000001
2019-11-17,-0.063,0.7085,0.7715000000000001
2019-11-18,-0.058,0.7099,0.7679
2019-11-19,-0.054,0.7106,0.7646000000000001
2019-11-20,-0.047,0.7108,0.7578
2019-11-21,-0.039,0.7107,0.7497
2019-11-22,-0.03,0.7104,0.7404000000000001
2019-11-23,-0.03,0.7104,0.7404000000000001
2019-11-24,-0.03,0.7104,0.7404000000000001
2019-11-25,-0.027,0.7097,0.7367
2019-11-26,-0.018,0.7097,0.7277
2019-11-27,-0.023,0.7105,0.7335
2019-11-28,-0.024,0.71,0.734
2019-11-29,-0.034,0.7123,0.7463000000000001
2019-11-30,-0.034,0.7123,0.7463000000000001
2019-12-01,-0.034,0.7123,0.7463000000000001
2019-12-02,-0.031,0.7091,0.7401
2019-12-03,-0.028,0.7092,0.7372000000000001
2019-12-04,-0.025,0.7091,0.7341
2019-12-05,-0.017,0.7097,0.7267
2019-12-06,-0.009,0.7086,0.7176
2019-12-07,-0.009,0.7086,0.7176
2019-12-08,-0.009,0.7086,0.7176
2019-12-09,-0.008,0.7095,0.7175
2019-12-10,-0.008,0.7103,0.7183
2019-12-11,-0.008,0.7098,0.7178
2019-12-12,-0.009,0.7104,0.7194
2019-12-13,-0.008,0.7113,0.7193
2019-12-14,-0.008,0.7113,0.7193
2019-12-15,-0.008,0.7113,0.7193
2019-12-16,-0.053,0.7111,0.7641
2019-12-17,-0.057,0.7104,0.7674000000000001
2019-12-18,-0.06,0.7106,0.7706
2019-12-19,-0.061,0.7113,0.7723
2019-12-20,-0.061,0.7108,0.7718
2019-12-21,-0.061,0.7108,0.7718
2019-12-22,-0.061,0.7108,0.7718
2019-12-23,-0.059,0.7102,0.7692000000000001
2019-12-24,-0.058,0.7094,0.7674000000000001
2019-12-25,-0.058,0.7094,0.7674000000000001
2019-12-26,-0.058,0.7094,0.7674000000000001
2019-12-27,-0.051,0.71,0.761
2019-12-28,-0.051,0.71,0.761
2019-12-29,-0.051,0.71,0.761
2019-12-30,-0.068,0.7107,0.7787
2019-12-31,-0.068,0.7107,0.7787
2020-01-01,-0.068,0.7107,0.7787
2020-01-02,-0.068,0.7107,0.7787
2020-01-03,-0.068,0.7107,0.7787
2020-01-04,-0.068,0.7107,0.7787
2020-01-05,-0.068,0.7107,0.7787
2020-01-06,-0.061,0.7124,0.7734000000000001
2020-01-07,-0.064,0.712,0.776
2020-01-08,-0.061,0.7124,0.7734000000000001
2020-01-09,-0.052,0.7123,0.7643000000000001
2020-01-10,-0.035,0.7117,0.7467
2020-01-11,-0.035,0.7117,0.7467
2020-01-12,-0.035,0.7117,0.7467
2020-01-13,-0.035,0.7117,0.7467
2020-01-14,-0.028,0.7111,0.7391
2020-01-15,-0.016,0.7125,0.7285
2020-01-16,-0.042,0.7117,0.7537
2020-01-17,-0.023,0.712,0.735
2020-01-18,-0.023,0.712,0.735
2020-01-19,-0.023,0.712,0.735
2020-01-20,-0.018,0.7117,0.7297
2020-01-21,-0.018,0.7117,0.7297
2020-01-22,-0.018,0.7117,0.7297
2020-01-23,-0.018,0.7104,0.7284
2020-01-24,-0.016,0.7106,0.7266
2020-01-25,-0.016,0.7106,0.7266
2020-01-26,-0.016,0.7106,0.7266
2020-01-27,-0.019,0.7089,0.7279
2020-01-28,-0.02,0.7096,0.7296
2020-01-29,-0.025,0.7103,0.7353000000000001
2020-01-30,-0.032,0.7099,0.7419
2020-01-31,-0.039,0.7117,0.7507
2020-02-01,-0.039,0.7117,0.7507
2020-02-02,-0.039,0.7117,0.7507
2020-02-03,-0.033,0.7104,0.7434000000000001
2020-02-04,-0.023,0.7104,0.7334
2020-02-05,-0.015,0.7107,0.7257
2020-02-06,-0.016,0.7107,0.7267
2020-02-07,-0.014,0.7112,0.7252000000000001
2020-02-08,-0.014,0.7112,0.7252000000000001
2020-02-09,-0.014,0.7112,0.7252000000000001
2020-02-10,-0.01,0.7095,0.7195
2020-02-11,-0.01,0.7095,0.7195
2020-02-12,-0.008,0.7098,0.7178
2020-02-13,-0.008,0.7106,0.7186
2020-02-14,-0.011,0.7103,0.7213
2020-02-15,-0.011,0.7103,0.7213
2020-02-16,-0.011,0.7103,0.7213
2020-02-17,-0.025,0.7092,0.7342000000000001
2020-02-18,-0.018,0.7095,0.7275
2020-02-19,-0.017,0.7102,0.7272000000000001
2020-02-20,-0.016,0.711,0.727
2020-02-21,-0.016,0.7112,0.7272000000000001
2020-02-22,-0.016,0.7112,0.7272000000000001
2020-02-23,-0.016,0.7112,0.7272000000000001
2020-02-24,-0.016,0.7112,0.7272000000000001
2020-02-25,-0.012,0.7109,0.7229
2020-02-26,-0.014,0.7114,0.7254
2020-02-27,-0.014,0.7106,0.7246
2020-02-28,-0.025,0.7098,0.7348
2020-02-29,-0.025,0.7098,0.7348
2020-03-01,-0.025,0.7098,0.7348
2020-03-02,-0.023,0.7089,0.7319
2020-03-03,-0.024,0.7098,0.7338
2020-03-04,-0.032,0.71,0.742
2020-03-05,-0.042,0.7089,0.7509
2020-03-06,-0.052,0.7087,0.7607
2020-03-07,-0.052,0.7087,0.7607
2020-03-08,-0.052,0.7087,0.7607
2020-03-09,-0.06,0.7091,0.7690999999999999
2020-03-10,-0.065,0.7091,0.7741
2020-03-11,-0.065,0.2092,0.2742
2020-03-12,-0.066,0.2093,0.2753
2020-03-13,-0.067,0.2093,0.2763
2020-03-14,-0.067,0.2093,0.2763
2020-03-15,-0.067,0.2093,0.2763
2020-03-16,-0.068,0.2096,0.2776
2020-03-17,-0.068,0.2135,0.2815
2020-03-18,-0.063,0.2148,0.2778
2020-03-19,-0.051,0.2134,0.2644
2020-03-20,-0.051,0.2134,0.2644
2020-03-21,-0.051,0.2134,0.2644
2020-03-22,-0.051,0.2134,0.2644
2020-03-23,-0.048,0.0723,0.1203
2020-03-24,-0.039,0.0736,0.1126
2020-03-25,-0.028,0.075,0.103
2020-03-26,-0.02,0.0729,0.09290000000000001
2020-03-27,-0.017,0.071,0.088
2020-03-28,-0.017,0.071,0.088
2020-03-29,-0.017,0.071,0.088
2020-03-30,-0.017,0.0714,0.0884
2020-03-31,-0.07,0.0729,0.14290000000000003
2020-04-01,-0.022,0.0712,0.0932
2020-04-02,-0.02,0.0653,0.0853
2020-04-03,-0.017,0.064,0.081
2020-04-04,-0.017,0.064,0.081
2020-04-05,-0.017,0.064,0.081
2020-04-06,-0.022,0.0657,0.0877
2020-04-07,-0.035,0.0661,0.10110000000000001
2020-04-08,-0.046,0.0641,0.1101
2020-04-09,-0.048,0.066,0.114
2020-04-10,-0.048,0.066,0.114
2020-04-11,-0.048,0.066,0.114
2020-04-12,-0.048,0.066,0.114
2020-04-13,-0.048,0.066,0.114
2020-04-14,-0.01,0.0635,0.0735
2020-04-15,-0.009,0.0634,0.07239999999999999
2020-04-16,-0.044,0.0632,0.1072
2020-04-17,-0.046,0.0643,0.1103
2020-04-18,-0.046,0.0643,0.1103
2020-04-19,-0.046,0.0643,0.1103
2020-04-20,-0.042,0.0661,0.1081
2020-04-21,-0.043,0.0672,0.11019999999999999
